"ACTION_DIRECTION","ACTION_SCORE","ACTION_TYPE","edge-label","EDGE_UNIQUE_SUID","EVIDENCE_CODE","INITIAL_SOURCE_NAME","INITIAL_TARGET_NAME","interaction","INTERACTION_TYPE","KappaScore","name","Regulates Source","Regulates Target","selected","shared interaction","shared name","SIGNUM","SOURCE_NAME","SOURCE_SYMBOL_NAME","TARGET_NAME","TARGET_SYMBOL_NAME","UNIQUE_ID"
"",,"","","8575","TAS","R-HSA:168638","5600","gene-term","R-HSA:168638",,"NOD1/2%20Signaling%20Pathway (gene-term) MAPK11","","","false","gene-term","NOD1/2%20Signaling%20Pathway (gene-term) MAPK11","","","","","","R-HSA:168638 (gene-term) 5600"
"",,"","","8572","TAS","R-HSA:168638","330","gene-term","R-HSA:168638",,"NOD1/2%20Signaling%20Pathway (gene-term) BIRC3","","","false","gene-term","NOD1/2%20Signaling%20Pathway (gene-term) BIRC3","","","","","","R-HSA:168638 (gene-term) 330"
"",,"","","8569","TAS","R-HSA:168638","329","gene-term","R-HSA:168638",,"NOD1/2%20Signaling%20Pathway (gene-term) BIRC2","","","false","gene-term","NOD1/2%20Signaling%20Pathway (gene-term) BIRC2","","","","","","R-HSA:168638 (gene-term) 329"
"",,"","","8566","TAS","R-HSA:168638","1540","gene-term","R-HSA:168638",,"NOD1/2%20Signaling%20Pathway (gene-term) CYLD","","","false","gene-term","NOD1/2%20Signaling%20Pathway (gene-term) CYLD","","","","","","R-HSA:168638 (gene-term) 1540"
"",,"","","8563","TAS","R-HSA:168638","1432","gene-term","R-HSA:168638",,"NOD1/2%20Signaling%20Pathway (gene-term) MAPK14","","","false","gene-term","NOD1/2%20Signaling%20Pathway (gene-term) MAPK14","","","","","","R-HSA:168638 (gene-term) 1432"
"",,"","","8560","TAS","R-HSA:168638","14","gene-term","R-HSA:168638",,"NOD1/2%20Signaling%20Pathway (gene-term) AAMP","","","false","gene-term","NOD1/2%20Signaling%20Pathway (gene-term) AAMP","","","","","","R-HSA:168638 (gene-term) 14"
"",,"","","8341","is_a:","","","term-term","term-term","2.0","Immune System (term-term-ontology) Innate Immune System","","POSITIVELY_REGULATES","false","term-term","Immune System (term-term-ontology) Innate Immune System","+","","","","","R-HSA:168256 (term-term-ontology) R-HSA:168249"
"",,"","","8338","kappa:0.69","","","term-term","term-term","0.6893419700265314","Immune System (term-term) Innate Immune System","","","false","term-term","Immune System (term-term) Innate Immune System","+","","","","","R-HSA:168256 (term-term) R-HSA:168249"
"",,"","","8335","is_a:","","","term-term","term-term","2.0","Immune System (term-term-ontology) Adaptive Immune System","","POSITIVELY_REGULATES","false","term-term","Immune System (term-term-ontology) Adaptive Immune System","+","","","","","R-HSA:168256 (term-term-ontology) R-HSA:1280218"
"",,"","","8332","kappa:0.43","","","term-term","term-term","0.43221943605752006","Immune System (term-term) Adaptive Immune System","","","false","term-term","Immune System (term-term) Adaptive Immune System","+","","","","","R-HSA:168256 (term-term) R-HSA:1280218"
"",,"","","8329","is_a:","","","term-term","term-term","2.0","Immune System (term-term-ontology) Cytokine Signaling in Immune system","","POSITIVELY_REGULATES","false","term-term","Immune System (term-term-ontology) Cytokine Signaling in Immune system","+","","","","","R-HSA:168256 (term-term-ontology) R-HSA:1280215"
"",,"","","8326","kappa:0.5","","","term-term","term-term","0.5021296912889971","Immune System (term-term) Cytokine Signaling in Immune system","","","false","term-term","Immune System (term-term) Cytokine Signaling in Immune system","+","","","","","R-HSA:168256 (term-term) R-HSA:1280215"
"",,"","","8323","TAS","R-HSA:168256","998","gene-term","R-HSA:168256",,"Immune%20System (gene-term) CDC42","","","false","gene-term","Immune%20System (gene-term) CDC42","","","","","","R-HSA:168256 (gene-term) 998"
"",,"","","8320","TAS","R-HSA:168256","9978","gene-term","R-HSA:168256",,"Immune%20System (gene-term) RBX1","","","false","gene-term","Immune%20System (gene-term) RBX1","","","","","","R-HSA:168256 (gene-term) 9978"
"",,"","","8317","TAS","R-HSA:168256","9903","gene-term","R-HSA:168256",,"Immune%20System (gene-term) KLHL21","","","false","gene-term","Immune%20System (gene-term) KLHL21","","","","","","R-HSA:168256 (gene-term) 9903"
"",,"","","8314","TAS","R-HSA:168256","9902","gene-term","R-HSA:168256",,"Immune%20System (gene-term) MRC2","","","false","gene-term","Immune%20System (gene-term) MRC2","","","","","","R-HSA:168256 (gene-term) 9902"
"",,"","","8311","TAS","R-HSA:168256","978","gene-term","R-HSA:168256",,"Immune%20System (gene-term) CDA","","","false","gene-term","Immune%20System (gene-term) CDA","","","","","","R-HSA:168256 (gene-term) 978"
"",,"","","8308","TAS","R-HSA:168256","976","gene-term","R-HSA:168256",,"Immune%20System (gene-term) ADGRE5","","","false","gene-term","Immune%20System (gene-term) ADGRE5","","","","","","R-HSA:168256 (gene-term) 976"
"",,"","","8305","TAS","R-HSA:168256","972","gene-term","R-HSA:168256",,"Immune%20System (gene-term) CD74","","","false","gene-term","Immune%20System (gene-term) CD74","","","","","","R-HSA:168256 (gene-term) 972"
"",,"","","8302","TAS","R-HSA:168256","966","gene-term","R-HSA:168256",,"Immune%20System (gene-term) CD59","","","false","gene-term","Immune%20System (gene-term) CD59","","","","","","R-HSA:168256 (gene-term) 966"
"",,"","","8299","TAS","R-HSA:168256","963","gene-term","R-HSA:168256",,"Immune%20System (gene-term) CD53","","","false","gene-term","Immune%20System (gene-term) CD53","","","","","","R-HSA:168256 (gene-term) 963"
"",,"","","8296","TAS","R-HSA:168256","960","gene-term","R-HSA:168256",,"Immune%20System (gene-term) CD44","","","false","gene-term","Immune%20System (gene-term) CD44","","","","","","R-HSA:168256 (gene-term) 960"
"",,"","","8293","TAS","R-HSA:168256","9588","gene-term","R-HSA:168256",,"Immune%20System (gene-term) PRDX6","","","false","gene-term","Immune%20System (gene-term) PRDX6","","","","","","R-HSA:168256 (gene-term) 9588"
"",,"","","8290","TAS","R-HSA:168256","9545","gene-term","R-HSA:168256",,"Immune%20System (gene-term) RAB3D","","","false","gene-term","Immune%20System (gene-term) RAB3D","","","","","","R-HSA:168256 (gene-term) 9545"
"",,"","","8287","TAS","R-HSA:168256","9535","gene-term","R-HSA:168256",,"Immune%20System (gene-term) GMFG","","","false","gene-term","Immune%20System (gene-term) GMFG","","","","","","R-HSA:168256 (gene-term) 9535"
"",,"","","8284","TAS","R-HSA:168256","9491","gene-term","R-HSA:168256",,"Immune%20System (gene-term) PSMF1","","","false","gene-term","Immune%20System (gene-term) PSMF1","","","","","","R-HSA:168256 (gene-term) 9491"
"",,"","","8281","TAS","R-HSA:168256","948","gene-term","R-HSA:168256",,"Immune%20System (gene-term) CD36","","","false","gene-term","Immune%20System (gene-term) CD36","","","","","","R-HSA:168256 (gene-term) 948"
"",,"","","8278","TAS","R-HSA:168256","943","gene-term","R-HSA:168256",,"Immune%20System (gene-term) TNFRSF8","","","false","gene-term","Immune%20System (gene-term) TNFRSF8","","","","","","R-HSA:168256 (gene-term) 943"
"",,"","","8275","TAS","R-HSA:168256","92912","gene-term","R-HSA:168256",,"Immune%20System (gene-term) UBE2Q2","","","false","gene-term","Immune%20System (gene-term) UBE2Q2","","","","","","R-HSA:168256 (gene-term) 92912"
"",,"","","8272","TAS","R-HSA:168256","9246","gene-term","R-HSA:168256",,"Immune%20System (gene-term) UBE2L6","","","false","gene-term","Immune%20System (gene-term) UBE2L6","","","","","","R-HSA:168256 (gene-term) 9246"
"",,"","","8269","TAS","R-HSA:168256","919","gene-term","R-HSA:168256",,"Immune%20System (gene-term) CD247","","","false","gene-term","Immune%20System (gene-term) CD247","","","","","","R-HSA:168256 (gene-term) 919"
"",,"","","8266","TAS","R-HSA:168256","915","gene-term","R-HSA:168256",,"Immune%20System (gene-term) CD3D","","","false","gene-term","Immune%20System (gene-term) CD3D","","","","","","R-HSA:168256 (gene-term) 915"
"",,"","","8263","TAS","R-HSA:168256","912","gene-term","R-HSA:168256",,"Immune%20System (gene-term) CD1D","","","false","gene-term","Immune%20System (gene-term) CD1D","","","","","","R-HSA:168256 (gene-term) 912"
"",,"","","8260","TAS","R-HSA:168256","8945","gene-term","R-HSA:168256",,"Immune%20System (gene-term) BTRC","","","false","gene-term","Immune%20System (gene-term) BTRC","","","","","","R-HSA:168256 (gene-term) 8945"
"",,"","","8257","TAS","R-HSA:168256","8905","gene-term","R-HSA:168256",,"Immune%20System (gene-term) AP1S2","","","false","gene-term","Immune%20System (gene-term) AP1S2","","","","","","R-HSA:168256 (gene-term) 8905"
"",,"","","8254","TAS","R-HSA:168256","8878","gene-term","R-HSA:168256",,"Immune%20System (gene-term) SQSTM1","","","false","gene-term","Immune%20System (gene-term) SQSTM1","","","","","","R-HSA:168256 (gene-term) 8878"
"",,"","","8251","TAS","R-HSA:168256","8673","gene-term","R-HSA:168256",,"Immune%20System (gene-term) VAMP8","","","false","gene-term","Immune%20System (gene-term) VAMP8","","","","","","R-HSA:168256 (gene-term) 8673"
